id_ibge,location,year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_jobs_est,cnae_display,bra_rca,wld_rca
3106200,"Belo Horizonte",2014,151800.13,143,143,34,1061.54,30.727,0.273,0.002,-0.235,-0.019,"4mg030000","c10538",0.128,0.8,-0.155,"c","c10","c10538",275,34.598,5,"10538",false,false
3106200,"Belo Horizonte",2014,1762.36,2,2,1,881.18,37,2.525,0.017,1,0,"4mg030000","c10619",0.001,0.814,-0.196,"c","c10","c10619",239,35.342,2,"10619",false,false
3106200,"Belo Horizonte",2014,17492.85,22,22,5,795.13,34.955,-0.138,-0.008,-0.389,-0.017,"4mg030000","c10627",0.01,0.796,-0.087,"c","c10","c10627",233,40.951,5,"10627",false,false
3106200,"Belo Horizonte",2014,3521.35,4,4,1,880.34,28.75,,0.009,,0,"4mg030000","c10635",0.021,0.823,-0.171,"c","c10","c10635",158,34.417,4,"10635",false,false
3106200,"Belo Horizonte",2014,4131.51,4,4,1,1032.88,35.25,0.149,-0.026,-0.2,-0.044,"4mg030000","c10643",0.011,0.814,-0.152,"c","c10","c10643",202,34.247,4,"10643",false,false
3106200,"Belo Horizonte",2014,3285.4,4,4,1,821.35,33.25,,0.394,,0.32,"4mg030000","c10651",0.005,0.825,-0.227,"c","c10","c10651",191,39.226,4,"10651",false,false
3106200,"Belo Horizonte",2014,465971.61,135,135,4,3451.64,35.178,0.815,0.026,-0.015,0.082,"4mg030000","c10660",0.14,0.814,-0.167,"c","c10","c10660",346,44.372,34,"10660",false,false
3106200,"Belo Horizonte",2014,13226.9,16,16,3,826.68,33.25,0.178,0.146,-0.059,0.122,"4mg030000","c10694",0.011,0.813,-0.162,"c","c10","c10694",275,44.334,6,"10694",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c10716",,0.822,-0.14,"c","c10","c10716",370,23.456,0,"10716",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c10724",,0.838,-0.066,"c","c10","c10724",158,17.507,0,"10724",false,false
3106200,"Belo Horizonte",2014,77250.62,50,50,5,1545.01,41.44,2.214,0.007,0.282,-0.012,"4mg030000","c10813",0.078,0.798,-0.18,"c","c10","c10813",241,33.055,10,"10813",false,false
3106200,"Belo Horizonte",2014,48524.97,35,35,2,1386.43,30.971,3.607,0.047,1.917,0.038,"4mg030000","c10821",0.129,0.785,-0.046,"c","c10","c10821",145,28.262,18,"10821",false,false
3106200,"Belo Horizonte",2014,2936737.78,2566,2567,146,1144.04,33.556,0.523,0.017,0.044,0.018,"4mg030000","c10911",0.614,0.805,-0.062,"c","c10","c10911",353,21.582,18,"10911",false,false
3106200,"Belo Horizonte",2014,702057.33,590,590,39,1189.93,34.212,2.422,0.113,0.756,0.05,"4mg030000","c10929",0.269,0.807,-0.115,"c","c10","c10929",271,23.524,16,"10929",false,false
3106200,"Belo Horizonte",2014,147287.74,130,130,28,1132.98,34.262,2.093,-0.01,0.912,-0.03,"4mg030000","c10937",0.055,0.81,-0.089,"c","c10","c10937",272,17.618,5,"10937",false,false
3106200,"Belo Horizonte",2014,786154.06,717,718,47,1094.92,34.139,0.731,0.074,0.059,0.04,"4mg030000","c10945",0.31,0.811,-0.074,"c","c10","c10945",313,33.84,16,"10945",false,false
3106200,"Belo Horizonte",2014,105536.67,89,89,15,1185.81,37.09,0.433,0.008,-0.082,-0.019,"4mg030000","c10953",0.163,0.807,-0.125,"c","c10","c10953",230,33.53,6,"10953",false,false
3106200,"Belo Horizonte",2014,436789.23,400,400,46,1091.97,35.2,0.319,-0.083,-0.083,-0.087,"4mg030000","c10961",0.757,0.799,-0.115,"c","c10","c10961",233,35.133,9,"10961",false,false
3106200,"Belo Horizonte",2014,1209044.59,1060,1060,77,1140.61,36.126,1.397,0.101,0.45,0.066,"4mg030000","c10996",0.21,0.818,-0.068,"c","c10","c10996",429,43.579,14,"10996",false,false
3106200,"Belo Horizonte",2014,63866.78,47,47,5,1358.87,41.894,-0.708,0.121,-0.489,0.117,"4mg030000","c11119",0.071,0.811,-0.07,"c","c11","c11119",254,37.092,10,"11119",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c11127",,0.834,-0.069,"c","c11","c11127",189,36.594,0,"11127",false,false
3106200,"Belo Horizonte",2014,167289.17,111,111,4,1507.11,31.91,0.059,-0.144,1.018,-0.038,"4mg030000","c11135",0.044,0.807,-0.125,"c","c11","c11135",210,27.533,28,"11135",false,false
3106200,"Belo Horizonte",2014,189793.29,157,158,2,1201.22,34.044,5.992,0.026,2.651,0.006,"4mg030000","c11216",0.236,0.798,-0.089,"c","c11","c11216",254,34.365,79,"11216",false,false
3106200,"Belo Horizonte",2014,2202320.1,788,788,3,2794.82,37.043,0.258,-0.131,-0.261,-0.149,"4mg030000","c11224",0.558,0.78,-0.127,"c","c11","c11224",296,34.653,263,"11224",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c12107",,0.817,-0.15,"c","c12","c12107",118,30.217,0,"12107",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c12204",,0.784,-0.045,"c","c12","c12204",151,34.521,0,"12204",false,false
3106200,"Belo Horizonte",2014,34227.18,11,11,2,3111.56,42.727,1.24,,0.375,,"4mg030000","c13111",0.027,0.815,-0.077,"c","c13","c13111",248,24.378,6,"13111",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13120",,0.826,-0.007,"c","c13","c13120",205,33.344,0,"13120",false,false
